date,title,odds,identifier,available_to_back_0,available_to_back_1,available_to_back_2,available_to_lay_0,available_to_lay_1,available_to_lay_2,available_to_back_0_size,available_to_back_1_size,available_to_back_2_size,available_to_lay_0_size,available_to_lay_1_size,available_to_lay_2_size
2017-01-04T03:29:11.948946,2017,3.0,10317013,2.88,2.86,2.74,,,,28.179356,35.283,48.337709999999994,,,
2017-01-04T03:29:11.948946,2018,8.6,10317010,6.6,1.01,,,,,13.348735,172.122235,,,,
2017-01-04T03:29:11.948946,2019,10.0,10317011,8.0,1.01,,,,,14.313137,191.38675299999994,,,,
2017-01-04T03:29:11.948946,2020 or later,2.16,11445915,2.14,2.08,1.94,,,,130.37068499999998,34.612623,69.378139,,,
2017-01-04T03:53:20.106378,2017,3.0,10317013,2.88,2.86,2.74,,,,31.707656,35.283,48.337709999999994,,,
2017-01-04T03:53:20.106378,2018,8.6,10317010,6.6,1.01,,,,,16.877035,172.122235,,,,
2017-01-04T03:53:20.106378,2019,10.0,10317011,8.2,7.2,1.01,,,,13.137036999999998,14.089678,182.001475,,,
2017-01-04T03:53:20.106378,2020 or later,2.16,11445915,2.14,2.08,1.94,,,,130.37068499999998,34.612623,69.378139,,,
2017-01-04T05:07:05.457061,2017,3.0,10317013,2.88,2.86,2.74,3.45,3.5,4.9,31.723832,35.301,48.36237000000001,26.193341999999998,55.3049,13.002535000000002
2017-01-04T05:07:05.457061,2018,8.6,10317010,6.6,1.01,,13.5,20.0,1000.0,16.885645000000004,172.21004500000004,,13.367312000000002,13.002535000000002,7.071967
2017-01-04T05:07:05.457061,2019,10.0,10317011,8.2,7.2,1.01,14.0,20.0,1000.0,13.143738999999998,14.096866000000002,182.09432500000003,14.214536,14.108633000000003,7.154336000000001
2017-01-04T05:07:05.457061,2020 or later,2.16,11445915,2.14,2.08,1.94,2.22,3.0,1000.0,130.437195,34.630281000000004,69.413533,357.705033,31.759133000000002,14.179235
2017-01-04T11:03:19.910549,2017,3.0,10317013,2.9,2.88,2.86,3.45,3.5,4.9,12.799017000000001,28.160188,35.259,32.038678,52.8885,12.987065000000003
2017-01-04T11:03:19.910549,2018,8.6,10317010,6.6,1.01,,9.0,20.0,1000.0,16.865555,172.005155,,13.363161000000002,15.325911999999999,7.063553
2017-01-04T11:03:19.910549,2019,10.0,10317011,8.4,7.2,1.01,14.0,20.0,1000.0,14.315154,14.068340999999998,181.877675,14.197623999999998,14.091847,7.145824
2017-01-04T11:03:19.910549,2020 or later,2.16,11445915,2.14,2.08,1.94,2.22,3.0,1000.0,132.538581,34.589079,66.98034700000001,357.279447,31.721346999999994,14.162365000000001
